time	voltage	freq	vrms
0.000000	1.532731	0.000000	1.249141
0.031000	0.958720	0.504032	0.001609
0.062000	1.431363	1.008065	0.001360
0.093000	1.170005	1.512097	0.001550
0.124000	1.201759	2.016129	0.001377
0.155000	1.450904	2.520161	0.001149
0.186000	0.985589	3.024194	0.001516
0.217000	1.531510	3.528226	0.000903
0.248000	0.969712	4.032258	0.001958
0.279000	1.405716	4.536290	0.003422
0.310000	1.220078	5.040323	0.013384
0.341000	1.162677	5.544355	0.005105
0.372000	1.476551	6.048387	0.003576
0.403000	0.967269	6.552419	0.003576
0.434000	1.521739	7.056452	0.003493
0.465000	0.991695	7.560484	0.003238
0.496000	1.371519	8.064516	0.003391
0.527000	1.265266	8.568548	0.003368
0.558000	1.128481	9.072581	0.005970
0.589000	1.496092	9.576613	0.005792
0.620000	0.956277	10.080645	0.005146
0.651000	1.513190	10.584677	0.006386
0.682000	1.019785	11.088710	0.006371
0.713000	1.331216	11.592742	0.007452
0.744000	1.328774	12.096774	0.011406
0.775000	1.082071	12.600806	0.012601
0.806000	1.518075	13.104839	0.030809
0.837000	0.946507	13.608871	0.200631
0.868000	1.492428	14.112903	0.039246
0.899000	1.057645	14.616935	0.014552
0.930000	1.293356	15.120968	0.012852
0.961000	1.370298	15.625000	0.009731
0.992000	1.051539	16.129032	0.006622
1.023000	1.526624		
1.054000	0.946507		
1.085000	1.470445		
1.116000	1.096727		
1.147000	1.257938		
1.178000	1.399609		
1.209000	1.019785		
1.240000	1.535173		
1.271000	0.950171		
1.302000	1.439912		
1.333000	1.168784		
1.364000	1.195652		
1.395000	1.460674		
1.426000	0.978261		
1.457000	1.529067		
1.488000	0.981925		
1.519000	1.381290		
1.550000	1.265266		
1.581000	1.126038		
1.612000	1.499756		
1.643000	0.952614		
1.674000	1.504641		
1.705000	1.038105		
1.736000	1.312897		
1.767000	1.351979		
1.798000	1.060088		
1.829000	1.525403		
1.860000	0.945286		
1.891000	1.475330		
1.922000	1.099170		
1.953000	1.249389		
